2279213	Zoula	Zoula	Zola,Zoola,Zoula	7.1725	-5.92889	P	PPL	CI	CI	00				0		179	Africa/Abidjan	2011-06-05
2279214	Zoukougbeu	Zoukougbeu	Zoukougbe,Zoukougbeu	6.76229	-6.8638	P	PPL	CI		96				0		244	Africa/Abidjan	2016-06-04
2279215	Zoukouboué	Zoukouboue		7.1112	-6.78102	P	PPL	CI		96				0		252	Africa/Abidjan	2016-06-04
2279216	Zuoké	Zuoke	Zouke,Zouké,Zuoke,Zuoké	6.40249	-5.51509	P	PPL	CI		95				0		175	Africa/Abidjan	2016-06-04
2279217	Zouhan	Zouhan		6.59077	-8.11671	P	PPL	CI		78				0		296	Africa/Abidjan	2014-01-10
2279218	Zougoussou	Zougoussou		6.92226	-5.57583	P	PPL	CI		96				0		172	Africa/Abidjan	2016-06-04
2279219	Zouzousso I	Zouzousso I	Zougouso,Zouzousso I	7.83797	-7.61923	P	PPL	CI		78				0		430	Africa/Abidjan	2012-02-28
2279220	Zougourouta	Zougourouta		6.64576	-5.82422	P	PPL	CI		96				0		227	Africa/Abidjan	2016-06-04
2279221	Zougounou	Zougounou		6.86974	-5.47278	P	PPL	CI		98				0		160	Africa/Abidjan	2016-06-04
2279222	Zouhounou	Zouhounou	Zougounou,Zouhounou,Zoungounou,Zugunu	6.61217	-3.29229	P	PPL	CI		94				0		166	Africa/Abidjan	2016-06-04
2279223	Zougounéfla	Zougounefla	Zougounefla,Zougounéfla	7.71034	-5.92868	P	PPL	CI		96				0		268	Africa/Abidjan	2016-06-04
2279224	Zogouiné	Zogouine	Zogouine,Zogouiné,Zougouine,Zougouiné	7.096	-7.98045	P	PPL	CI		78				0		296	Africa/Abidjan	2012-01-17
2279225	Zougouboko	Zougouboko		5.62948	-5.41459	P	PPL	CI		95				0		147	Africa/Abidjan	2016-06-04
2279226	Zoué	Zoue		7.60272	-8.09853	H	STM	CI		78				0		533	Africa/Abidjan	2012-02-28
2279227	Zoué	Zoue		6.06667	-4.93333	H	STMI	CI		82				0		46	Africa/Abidjan	2011-06-05
2279228	Zodri	Zodri	Zodri,Zoudepleu,Zoudépleu	7.00079	-7.75593	P	PPL	CI		78				0		272	Africa/Abidjan	2012-02-28
2279229	Zoublé	Zouble		7.76458	-5.6539	H	STMI	CI		90				0		189	Africa/Abidjan	2011-07-09
2279230	Zouba	Zouba		7.22573	-6.96166	T	HLL	CI		96				0		347	Africa/Abidjan	2016-06-04
2279231	Zouayo	Zouayo	Zaouyo,Zouayo	5.6932	-6.1482	P	PPL	CI		76				0		166	Africa/Abidjan	2014-01-10
2279232	Zouata	Zouata	Zouata,Zouate,Zouaté	7.47231	-7.34831	P	PPL	CI		78				0		280	Africa/Abidjan	2014-01-10
2279233	Zouani	Zouani		9.85502	-6.1194	P	PPL	CI		87				0		343	Africa/Abidjan	2012-02-28
2279234	Sous-préfecture de Zouan-Hounien	Sous-prefecture de Zouan-Hounien	Sous-prefecture de Zouan-Hounien,Sous-préfecture de Zouan-Hounien,Zouan-Hounian	6.91667	-8.25	A	ADM4	CI	CI	78		2279234	2279234	0		239	Africa/Abidjan	2016-05-16
2279235	Zouan-Hounien	Zouan-Hounien	Zouan-Hounien,Zoum Hounien,Zoun-Hounien	6.91937	-8.2065	P	PPL	CI		78				0		266	Africa/Abidjan	2012-01-17
2279236	Zouan	Zouan		6.54502	-7.59902	P	PPL	CI		78				0		221	Africa/Abidjan	2014-01-10
2279237	Zouamouton	Zouamouton	Zouamoton,Zouamouton	7.33333	-8.01667	T	MT	CI		78				0		579	Africa/Abidjan	2012-01-17
2279238	Zouamo	Zouamo		8.07023	-7.66385	H	STM	CI		00				0		459	Africa/Abidjan	2012-02-28
2279239	Zou	Zou		6.82618	-8.09333	H	STMI	CI		78				0		267	Africa/Abidjan	2014-01-10
2279240	Zou	Zou	Zou	6.97647	-7.79834	P	PPL	CI		78				0		288	Africa/Abidjan	2012-05-05
2279241	Zotro Darra	Zotro Darra	Zotro Darra,Zoutouo Dara	6.92891	-8.2848	P	PPL	CI		78				0		269	Africa/Abidjan	2012-01-17
2279242	Zoroyo	Zoroyo		5.89548	-6.65079	P	PPL	CI		76				0		184	Africa/Abidjan	2012-02-28
2279243	Zoronko	Zoronko		9.51015	-3.21042	P	PPL	CI		92				0		325	Africa/Abidjan	2012-02-28
2279244	Zorofla	Zorofla	Zorofla	7.24415	-6.2643	P	PPL	CI		96				0		303	Africa/Abidjan	2016-06-04
2279245	Zoro	Zoro		7.83028	-3.21194	H	STM	CI		00				0		240	Africa/Abidjan	2003-02-12
2279246	Zoro	Zoro		7.7796	-3.30756	H	STM	CI		92				0		206	Africa/Abidjan	2012-02-28
2279247	Zonlé I	Zonle I	Zonle I,Zonlé I,Zoonle,Zoonlé	7.36466	-7.7695	P	PPL	CI		78				0		344	Africa/Abidjan	2012-01-17
2279248	Zonzo	Zonzo		8.15912	-3.2015	H	STMI	CI		92				0		255	Africa/Abidjan	2012-02-28
2279249	Zonokoi	Zonokoi		6.41833	-3.64028	P	PPL	CI		94				0		142	Africa/Abidjan	2016-06-04
2279250	Zonneu	Zonneu	Zonneu	7.17144	-8.06675	P	PPL	CI		78				0		342	Africa/Abidjan	2012-01-17
2279251	Zonkoni	Zonkoni		9.68466	-7.73266	H	STMI	CI		77				0		408	Africa/Abidjan	2012-02-28
2279252	Zoni	Zoni		5.9763	-7.55275	H	STMI	CI		78				0		184	Africa/Abidjan	2015-01-07
2279253	Zonguétouo	Zonguetouo		7.09394	-8.23481	P	PPL	CI		78				0		282	Africa/Abidjan	2011-06-05
2279254	Zongotakaha	Zongotakaha		9.4107	-5.6804	P	PPL	CI		87				0		381	Africa/Abidjan	2012-02-28
2279255	Zongopleu	Zongopleu		7.11619	-8.27681	P	PPL	CI		78				0		327	Africa/Abidjan	2011-06-05
2279256	Zonfla	Zonfla	Zanfla,Zonfla	7.4132	-5.9089	P	PPL	CI		96				0		299	Africa/Abidjan	2016-06-04
2279257	Zonda	Zonda		9.19721	-6.47576	H	STMI	CI		00				0		387	Africa/Abidjan	2012-02-28
2279258	Zona	Zona		9.89332	-6.06334	H	STMI	CI		00				0		333	Africa/Abidjan	2012-02-28
2279259	Zomplou	Zomplou	Zompleu,Zomplou	6.61944	-8.155	P	PPL	CI		78				0		273	Africa/Abidjan	2014-01-10
2279260	Zomologo	Zomologo		9.24482	-7.04211	H	STMI	CI		00				0		373	Africa/Abidjan	2012-02-28
2279261	Zomenia	Zomenia		9.64614	-6.37719	H	STMI	CI		00				0		345	Africa/Abidjan	2012-02-28
2279262	Zomédougou	Zomedougou		8.47915	-8.13436	P	PPL	CI		97				0		539	Africa/Abidjan	2016-06-04
2279263	Zoleu	Zoleu		6.80782	-8.299	P	PPL	CI		78				0		245	Africa/Abidjan	2012-02-28
2279264	Zolé	Zole		7.19893	-8.17315	P	PPL	CI		78				0		356	Africa/Abidjan	2012-02-28
2279265	Zola	Zola	Zoihola,Zola,Zorhola	8.51414	-2.61473	H	STMI	CI		92				0		212	Africa/Abidjan	2012-02-28
2279266	Zokrodépié	Zokrodepie		6.63103	-6.445	P	PPL	CI		96				0		223	Africa/Abidjan	2016-06-04
2279267	Zokrobouo	Zokrobouo	Zokrobou,Zokrobouo	6.00705	-6.04273	P	PPL	CI		95				0		199	Africa/Abidjan	2016-06-04
2279268	Zokassou	Zokassou	Zokassou,Zokosso	7.45486	-5.32052	P	PPL	CI		90				0		222	Africa/Abidjan	2012-02-28
2279269	Zokoro	Zokoro		8.56016	-3.34605	H	STMI	CI		92				0		262	Africa/Abidjan	2012-02-28
2279270	Zokoro	Zokoro		7.66667	-4.36667	H	STMI	CI		81				0		138	Africa/Abidjan	2014-01-10
2279271	Zokoma	Zokoma	Zokoma,Zokomba	7.7926	-7.85959	P	PPL	CI		78				0		489	Africa/Abidjan	2012-02-28
2279272	Zohouéleu	Zohoueleu	Zohouele,Zohoueleu,Zohouoileu,Zohouéleu,Zohouélé	7.05912	-8.16835	P	PPL	CI		78				0		281	Africa/Abidjan	2012-01-17
2279273	Zoguiné	Zoguine		6.54183	-8.46914	P	PPL	CI		78				0		276	Africa/Abidjan	2014-01-10
2279274	Zogouri	Zogouri		9.58744	-7.14817	T	HLL	CI		77				0		560	Africa/Abidjan	2012-02-28
2279275	Zogoualé	Zogouale		7.43549	-7.54835	P	PPL	CI		78				0		351	Africa/Abidjan	2011-06-05
2279276	Zogonigbé	Zogonigbe	Zogonigbe,Zogonigbi,Zogonigbé,Zokonika	5.2037	-5.32017	P	PPL	CI		82				0		14	Africa/Abidjan	2014-01-10
2279277	Zogodié	Zogodie		5.59389	-5.74694	H	STMI	CI		76				0		154	Africa/Abidjan	2014-01-10
2279278	Zogny	Zogny	Dogri,Zogny	6.3556	-3.87456	H	STMI	CI		82				0		98	Africa/Abidjan	2014-01-10
2279280	Zogbeu	Zogbeu		6.79172	-8.29005	P	PPL	CI		78				0		262	Africa/Abidjan	2012-02-28
2279281	Zogba	Zogba		6.48409	-6.57214	P	PPL	CI		96				0		210	Africa/Abidjan	2016-06-04
2279282	Rochers Zoé	Rochers Zoe		5.92135	-7.717	T	RKS	CI		78				0		183	Africa/Monrovia	2015-01-07
2279283	Zodofouma	Zodofouma		8.42862	-8.0603	P	PPL	CI		97				0		552	Africa/Abidjan	2016-06-04
2279284	Zodji	Zodji		6.0217	-3.90665	P	PPL	CI		00				0		97	Africa/Abidjan	2012-02-28
2279285	Zédékan	Zedekan	Zedekan,Zodekan,Zodékan,Zédékan	7.62877	-5.56916	P	PPL	CI		90				0		242	Africa/Abidjan	2012-02-28
2279286	Zobouo	Zobouo		6.18049	-6.94701	H	STMI	CI		76				0		168	Africa/Abidjan	2012-02-28
2279287	Zoboua	Zoboua	Zoboua,Zoboua II	6.70205	-6.55527	P	PPL	CI		96				0		246	Africa/Abidjan	2016-06-04
2279288	Zoboua I	Zoboua I		6.71937	-6.55685	P	PPL	CI		96				0		236	Africa/Abidjan	2016-06-04
2279289	Zobonko	Zobonko		8.63093	-3.71164	H	STMI	CI		92				0		229	Africa/Abidjan	2012-02-28
2279290	Zobiré	Zobire		7.00278	-7.34694	P	PPL	CI		78				0		271	Africa/Abidjan	2009-03-26
2279291	Zobia	Zobia		6.69408	-6.6437	P	PPL	CI		96				0		244	Africa/Abidjan	2016-06-04
2279292	Zobia	Zobia		6.47976	-6.60487	P	PPL	CI		96				0		217	Africa/Abidjan	2016-06-04
2279293	Zobé	Zobe		6.05	-3.98333	H	STMI	CI		00				0		102	Africa/Abidjan	1994-01-04
2279294	Zoazon	Zoazon		6.5571	-7.8159	P	PPL	CI		78				0		274	Africa/Abidjan	2014-01-10
2279295	Zouangouen	Zouangouen	Zoangouen,Zouangouen	7.62828	-7.56075	P	PPL	CI		78				0		636	Africa/Abidjan	2012-02-28
2279296	Zoandié	Zoandie		7.66319	-7.31943	P	PPL	CI		78				0		329	Africa/Abidjan	2012-02-28
2279297	Mont Zoa	Mont Zoa		6.68278	-7.80035	T	HLL	CI		78				0	781	645	Africa/Abidjan	2014-01-10
2279298	Mont Zo	Mont Zo	Mont Zo,Zo	7.41644	-7.8944	T	MT	CI		78				0	1144	984	Africa/Abidjan	2012-01-17
2279299	Zo	Zo		6.81667	-8.15	H	STMI	CI		78				0		280	Africa/Abidjan	2011-06-05
2279300	Zo	Zo		6.61667	-8.23333	H	STMI	CI		00				0		275	Africa/Abidjan	1994-01-04
2279301	Zo	Zo		7.21667	-8.26667	H	STM	CI		78				0		311	Africa/Abidjan	2009-03-26
2279302	Zo	Zo	Nzo,Zo	7.03333	-7.58333	H	STM	CI	CI	00				0		246	Africa/Abidjan	2011-05-07
2279303	Zo	Zo		6.81707	-8.32001	H	STM	CI		78				0		234	Africa/Abidjan	2012-02-28
2279304	Zo	Zo		8.16777	-7.60041	P	PPL	CI		97				0		599	Africa/Abidjan	2016-06-04
2279305	Dra	Dra	Dra,Zia,Zla	7.81711	-7.79018	H	STM	CI		78				0		444	Africa/Abidjan	2012-02-28
2279306	Zizézom	Zizezom	Zizezion,Zizezom,Zizézion,Zizézom	6.31667	-6.15	P	PPL	CI		95				0		201	Africa/Abidjan	2016-06-04
2279307	Ziziessou	Ziziessou	Zissiassou,Ziziessou	7.09986	-5.07589	P	PPL	CI		81				0		207	Africa/Abidjan	2012-01-17
2279308	Zirita	Zirita		7.6	-5.68333	H	STMI	CI		83				0		187	Africa/Abidjan	2011-07-09
2279309	Ziouébli	Ziouebli	Ziouebli,Ziouébli	6.6517	-8.43955	P	PPL	CI		78				0		237	Africa/Abidjan	2014-01-10
2279310	Ziondrou Zibo	Ziondrou Zibo	Ziondrou,Ziondrou Zibo	7.17484	-7.39551	P	PPL	CI		78				0		292	Africa/Abidjan	2012-02-28
2279311	Zion	Zion		6.79968	-8.1069	H	STM	CI		78				0		268	Africa/Abidjan	2014-01-10
2279312	Ziombli	Ziombli		6.54638	-8.37518	P	PPL	CI		78				0		262	Africa/Abidjan	2014-01-10
2279313	Zinzénou	Zinzenou		6.88139	-3.45806	P	PPL	CI		94				0		209	Africa/Abidjan	2016-06-04
2279314	Zinzé	Zinze		6.84667	-3.4475	H	STMI	CI		94				0		188	Africa/Abidjan	2016-06-04
2279315	Zaguinasso	Zaguinasso	Zaguinasso,Zinguinasso	10.04886	-6.35999	P	PPL	CI		87				0		350	Africa/Abidjan	2012-02-28
2279316	Zingourézi	Zingourezi		8.03333	-3.63333	T	HLL	CI		92				0		284	Africa/Abidjan	2012-02-28
2279317	Zinékro	Zinekro		7.41667	-4.18333	P	PPL	CI		81				0		171	Africa/Abidjan	2014-01-10
2279318	Zindé	Zinde		7.55806	-5.59972	P	PPL	CI		90				0		211	Africa/Abidjan	2011-07-09
2279319	Zen	Zen	Zen,Zin	7.02619	-8.27318	H	STM	CI		78				0		246	Africa/Abidjan	2012-02-28
2279320	Zimo	Zimo		8.96362	-6.71349	H	STM	CI		00				0		342	Africa/Abidjan	2012-02-28
2279321	Zimèkaha	Zimekaha	Zimakaha,Zimekaha,Zimèkaha	9.4888	-5.45916	P	PPL	CI		87				0		345	Africa/Abidjan	2012-02-28
2279322	Zikriby	Zikriby	Zikribi,Zikriby	5.613	-5.42515	P	PPL	CI		95				0		160	Africa/Abidjan	2016-06-04
2279323	Zikozibré	Zikozibre		5.71348	-6.25209	P	PPL	CI		76				0		187	Africa/Abidjan	2014-01-10
2279324	Zikozibouo	Zikozibouo		5.71711	-6.26523	P	PPL	CI		76				0		171	Africa/Abidjan	2014-01-10
2279325	Zikouakou	Zikouakou		7.25	-3.9	P	PPL	CI		81				0		276	Africa/Abidjan	2014-01-10
2279326	Zikoboué	Zikoboue		5.78514	-5.77164	P	PPL	CI		95				0		203	Africa/Abidjan	2016-06-04
2279327	Zikisso	Zikisso	Zikiso,Zikisso	6.06396	-5.70245	P	PPL	CI		95				0		235	Africa/Abidjan	2016-06-04
2279328	Zikagbeu	Zikagbeu	Zikaboue,Zikaboué,Zikagbe,Zikagbeu	6.75608	-6.89125	P	PPL	CI		96				0		243	Africa/Abidjan	2016-06-04
2279329	Nzikafénou	Nzikafenou	Nzikafenou,Nzikafénou,Zikafenou,Zikafénou	7.10884	-5.09693	P	PPL	CI		81				0		232	Africa/Abidjan	2012-02-28
2279330	Zigui	Zigui		8.14296	-3.63533	H	STMI	CI		92				0		208	Africa/Abidjan	2012-02-28
2279331	Ziguédia	Ziguedia		6.75573	-6.51823	P	PPL	CI		96				0		264	Africa/Abidjan	2016-06-04
2279332	Zigopa	Zigopa		6.19153	-5.76975	P	PPL	CI		95				0		247	Africa/Abidjan	2016-06-04
2279333	Zigofla	Zigofla		7.55094	-5.96927	P	PPL	CI		96				0		249	Africa/Abidjan	2016-06-04
2279334	Ziglo	Ziglo		6.56348	-7.79631	P	PPL	CI		78				0		248	Africa/Abidjan	2014-01-10
2279335	Zigbogo	Zigbogo		9.15391	-2.7482	H	STMI	CI		92				0		211	Africa/Abidjan	2012-02-28
2279336	Zigbayo II	Zigbayo II		5.62934	-6.04127	P	PPL	CI		76				0		177	Africa/Abidjan	2014-01-10
2279337	Zigbayo I	Zigbayo I		5.63205	-6.04246	P	PPL	CI		76				0		175	Africa/Abidjan	2014-01-10
2279338	Ligaleu	Ligaleu	Ligaleu,Zigare,Zigareu,Zigaré	7.01543	-8.25598	P	PPL	CI		78				0		265	Africa/Abidjan	2012-01-17
2279339	Ziévaso	Zievaso	Zievaso,Zievasso,Ziévaso,Ziévasso	9.42091	-7.58576	P	PPL	CI		77				0		442	Africa/Abidjan	2012-02-28
2279340	Ziénoa	Zienoa		6.2	-4.96667	P	PPL	CI		82				0		127	Africa/Abidjan	2011-06-05
2279341	Zien	Zien		6.54188	-7.68755	H	STMI	CI		78				0		238	Africa/Abidjan	2014-01-10
2279342	Ziémougoula	Ziemougoula		9.91914	-7.43531	P	PPL	CI		77				0		392	Africa/Abidjan	2012-02-28
2279343	Ziékozo	Ziekozo		6.34174	-5.89964	P	PPL	CI		95				0		260	Africa/Abidjan	2016-06-04
2279344	Ziékanha	Ziekanha		10.15408	-5.91981	P	PPL	CI		87				0		360	Africa/Abidjan	2014-01-10
2279345	Ziédougou	Ziedougou	Zehaka,Zeka,Ziedougou,Ziédougou,Zéhaka,Zéka	9.25287	-6.48813	P	PPL	CI		87				0		415	Africa/Abidjan	2012-02-28
2279346	Ziduo	Ziduo	Ziduho,Ziduo	7.41197	-6.04806	P	PPL	CI		96				0		209	Africa/Abidjan	2016-06-04
2279347	Ziduo	Ziduo	Ziduho,Ziduo	7.38295	-6.1688	P	PPL	CI		96				0		264	Africa/Abidjan	2016-06-04
2279348	Ziasso	Ziasso	Ziasso,Ziekan,Ziékan	10	-6.5	P	PPL	CI		87				0		398	Africa/Abidjan	2014-01-10
